request_creation_time;elb_status_code;target_status_code;time
2021-01-27T12:09:32.699000Z;200;200;2021-01-27T12:09:32.752369Z
2021-01-27T12:09:33.031000Z;200;200;2021-01-27T12:09:33.114810Z
2021-01-27T12:09:33.535000Z;200;200;2021-01-27T12:09:33.620223Z
2021-01-27T12:09:33.752000Z;200;200;2021-01-27T12:09:33.823970Z
2021-01-27T12:09:34.020000Z;200;200;2021-01-27T12:09:34.062833Z
2021-01-27T12:09:34.193000Z;200;200;2021-01-27T12:09:34.301334Z
2021-01-27T12:09:34.282000Z;200;200;2021-01-27T12:09:34.338741Z
2021-01-27T12:09:34.360000Z;200;200;2021-01-27T12:09:34.493158Z
2021-01-27T12:09:34.568000Z;200;200;2021-01-27T12:09:34.669834Z
2021-01-27T12:09:34.646000Z;200;200;2021-01-27T12:09:34.738145Z
2021-01-27T12:09:34.657000Z;200;200;2021-01-27T12:09:34.737790Z
2021-01-27T12:09:34.713000Z;200;200;2021-01-27T12:09:34.773204Z
2021-01-27T12:09:34.759000Z;200;200;2021-01-27T12:09:34.827945Z
2021-01-27T12:09:35.023000Z;200;200;2021-01-27T12:09:35.057634Z
2021-01-27T12:09:35.502000Z;200;200;2021-01-27T12:09:35.545671Z
2021-01-27T12:09:35.569000Z;200;200;2021-01-27T12:09:35.605053Z
2021-01-27T12:09:35.873000Z;200;200;2021-01-27T12:09:35.918962Z
2021-01-27T12:09:35.875000Z;200;200;2021-01-27T12:09:35.929417Z
2021-01-27T12:09:35.996000Z;200;200;2021-01-27T12:09:36.036862Z
2021-01-27T12:09:36.042000Z;200;200;2021-01-27T12:09:36.100479Z
2021-01-27T12:09:36.591000Z;200;200;2021-01-27T12:09:36.630363Z
2021-01-27T12:09:36.749000Z;200;200;2021-01-27T12:09:36.844459Z
2021-01-27T12:09:36.765000Z;200;200;2021-01-27T12:09:36.840262Z
2021-01-27T12:09:36.870000Z;200;200;2021-01-27T12:09:36.963691Z
2021-01-27T12:09:36.998000Z;200;200;2021-01-27T12:09:37.123959Z
2021-01-27T12:09:37.001000Z;200;200;2021-01-27T12:09:37.123803Z
2021-01-27T12:09:37.015000Z;200;200;2021-01-27T12:09:37.116850Z
2021-01-27T12:09:37.038000Z;200;200;2021-01-27T12:09:37.106286Z
2021-01-27T12:09:37.293000Z;200;200;2021-01-27T12:09:37.349175Z
2021-01-27T12:09:37.601000Z;200;200;2021-01-27T12:09:37.660744Z
2021-01-27T12:09:37.652000Z;200;200;2021-01-27T12:09:37.702425Z
2021-01-27T12:09:37.653000Z;200;200;2021-01-27T12:09:37.703095Z
2021-01-27T12:09:37.808000Z;200;200;2021-01-27T12:09:37.842578Z
2021-01-27T12:09:37.916000Z;200;200;2021-01-27T12:09:37.965818Z
